breeds,id,url,width,height,categories
[],21o,https://cdn2.thecatapi.com/images/21o.gif,500,241,
[],3ne,https://cdn2.thecatapi.com/images/3ne.gif,330,293,
[],43m,https://cdn2.thecatapi.com/images/43m.gif,400,224,
[],4jh,https://cdn2.thecatapi.com/images/4jh.gif,478,334,
[],7t4,https://cdn2.thecatapi.com/images/7t4.gif,380,217,
[],aun,https://cdn2.thecatapi.com/images/aun.gif,475,336,
[],ci8,https://cdn2.thecatapi.com/images/ci8.gif,500,283,
[],MTUwNjY0Mg,https://cdn2.thecatapi.com/images/MTUwNjY0Mg.gif,1274,704,
[],MTUyNjg2NA,https://cdn2.thecatapi.com/images/MTUyNjg2NA.gif,425,239,"[{'id': 6, 'name': 'caturday'}]"
[],MTcwNzY0NQ,https://cdn2.thecatapi.com/images/MTcwNzY0NQ.gif,300,300,
